patient	cluster	entrez	gene	source	subtype	id	name
NP11	0	4163	MCC	go	BP	GO:0016055	Wnt signaling pathway
NP11	0	4163	MCC	go	BP	GO:0045184	establishment of protein localization
NP11	0	4163	MCC	go	BP	GO:0050680	negative regulation of epithelial cell proliferation
NP11	0	4163	MCC	go	BP	GO:0090090	negative regulation of canonical Wnt signaling pathway
NP11	0	4216	MAP3K4	go	BP	GO:0000165	MAPK cascade
NP11	0	4216	MAP3K4	go	BP	GO:0000186	activation of MAPKK activity
NP11	0	4216	MAP3K4	go	BP	GO:0001890	placenta development
NP11	0	4216	MAP3K4	go	BP	GO:0010225	response to UV-C
NP11	0	4216	MAP3K4	go	BP	GO:0010468	regulation of gene expression
NP11	0	4216	MAP3K4	go	BP	GO:0019100	male germ-line sex determination
NP11	0	4216	MAP3K4	go	BP	GO:0032212	positive regulation of telomere maintenance via telomerase
NP11	0	4216	MAP3K4	go	BP	GO:0035556	intracellular signal transduction
NP11	0	4216	MAP3K4	go	BP	GO:0043507	positive regulation of JUN kinase activity
NP11	0	4216	MAP3K4	go	BP	GO:0051973	positive regulation of telomerase activity
NP11	0	4216	MAP3K4	go	BP	GO:0060718	chorionic trophoblast cell differentiation
NP11	0	4216	MAP3K4	go	BP	GO:1900745	positive regulation of p38MAPK cascade
NP11	0	4216	MAP3K4	go	BP	GO:1904355	positive regulation of telomere capping
NP11	0	4318	MMP9	go	BP	GO:0001501	skeletal system development
NP11	0	4318	MMP9	go	BP	GO:0001503	ossification
NP11	0	4318	MMP9	go	BP	GO:0001934	positive regulation of protein phosphorylation
NP11	0	4318	MMP9	go	BP	GO:0006508	proteolysis
NP11	0	4318	MMP9	go	BP	GO:0007566	embryo implantation
NP11	0	4318	MMP9	go	BP	GO:0022617	extracellular matrix disassembly
NP11	0	4318	MMP9	go	BP	GO:0030225	macrophage differentiation
NP11	0	4318	MMP9	go	BP	GO:0030574	collagen catabolic process
NP11	0	4318	MMP9	go	BP	GO:0035987	endodermal cell differentiation
NP11	0	4318	MMP9	go	BP	GO:0043066	negative regulation of apoptotic process
NP11	0	4318	MMP9	go	BP	GO:0043388	positive regulation of DNA binding
NP11	0	4318	MMP9	go	BP	GO:0045742	positive regulation of epidermal growth factor receptor signaling pathway
NP11	0	4318	MMP9	go	BP	GO:0048013	ephrin receptor signaling pathway
NP11	0	4318	MMP9	go	BP	GO:0050900	leukocyte migration
NP11	0	4318	MMP9	go	BP	GO:0051549	positive regulation of keratinocyte migration
NP11	0	4318	MMP9	go	BP	GO:0090200	positive regulation of release of cytochrome c from mitochondria
NP11	0	4318	MMP9	go	BP	GO:1900122	positive regulation of receptor binding
NP11	0	4318	MMP9	go	BP	GO:1904707	positive regulation of vascular smooth muscle cell proliferation
NP11	0	4318	MMP9	go	BP	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway
NP11	0	4318	MMP9	go	BP	GO:2001258	negative regulation of cation channel activity
NP11	0	4318	MMP9	go	BP	GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
NP19	0	4323	MMP14	go	BP	GO:0001525	angiogenesis
NP19	0	4323	MMP14	go	BP	GO:0001541	ovarian follicle development
NP19	0	4323	MMP14	go	BP	GO:0001666	response to hypoxia
NP19	0	4323	MMP14	go	BP	GO:0001935	endothelial cell proliferation
NP19	0	4323	MMP14	go	BP	GO:0001958	endochondral ossification
NP19	0	4323	MMP14	go	BP	GO:0006508	proteolysis
NP19	0	4323	MMP14	go	BP	GO:0006979	response to oxidative stress
NP19	0	4323	MMP14	go	BP	GO:0008584	male gonad development
NP19	0	4323	MMP14	go	BP	GO:0009612	response to mechanical stimulus
NP19	0	4323	MMP14	go	BP	GO:0009725	response to hormone
NP19	0	4323	MMP14	go	BP	GO:0010831	positive regulation of myotube differentiation
NP19	0	4323	MMP14	go	BP	GO:0010952	positive regulation of peptidase activity
NP19	0	4323	MMP14	go	BP	GO:0014070	response to organic cyclic compound
NP19	0	4323	MMP14	go	BP	GO:0016485	protein processing
NP19	0	4323	MMP14	go	BP	GO:0022617	extracellular matrix disassembly
NP19	0	4323	MMP14	go	BP	GO:0030307	positive regulation of cell growth
NP19	0	4323	MMP14	go	BP	GO:0030324	lung development
NP19	0	4323	MMP14	go	BP	GO:0030335	positive regulation of cell migration
NP19	0	4323	MMP14	go	BP	GO:0030574	collagen catabolic process
NP19	0	4323	MMP14	go	BP	GO:0031638	zymogen activation
NP19	0	4323	MMP14	go	BP	GO:0035987	endodermal cell differentiation
NP19	0	4323	MMP14	go	BP	GO:0035988	chondrocyte proliferation
NP19	0	4323	MMP14	go	BP	GO:0043615	astrocyte cell migration
NP19	0	4323	MMP14	go	BP	GO:0043627	response to estrogen
NP19	0	4323	MMP14	go	BP	GO:0045579	positive regulation of B cell differentiation
NP19	0	4323	MMP14	go	BP	GO:0045746	negative regulation of Notch signaling pathway
NP19	0	4323	MMP14	go	BP	GO:0048701	embryonic cranial skeleton morphogenesis
NP19	0	4323	MMP14	go	BP	GO:0048754	branching morphogenesis of an epithelial tube
NP19	0	4323	MMP14	go	BP	GO:0048771	tissue remodeling
NP19	0	4323	MMP14	go	BP	GO:0048870	cell motility
NP19	0	4323	MMP14	go	BP	GO:0051895	negative regulation of focal adhesion assembly
NP19	0	4323	MMP14	go	BP	GO:0097094	craniofacial suture morphogenesis
NP16	0	4478	MSN	go	BP	GO:0006928	movement of cell or subcellular component
NP16	0	4478	MSN	go	BP	GO:0007010	cytoskeleton organization
NP16	0	4478	MSN	go	BP	GO:0007159	leukocyte cell-cell adhesion
NP16	0	4478	MSN	go	BP	GO:0008360	regulation of cell shape
NP16	0	4478	MSN	go	BP	GO:0008361	regulation of cell size
NP16	0	4478	MSN	go	BP	GO:0010628	positive regulation of gene expression
NP16	0	4478	MSN	go	BP	GO:0022612	gland morphogenesis
NP16	0	4478	MSN	go	BP	GO:0022614	membrane to membrane docking
NP16	0	4478	MSN	go	BP	GO:0045198	establishment of epithelial cell apical/basal polarity
NP16	0	4478	MSN	go	BP	GO:0050900	leukocyte migration
NP16	0	4478	MSN	go	BP	GO:0061028	establishment of endothelial barrier
NP16	0	4478	MSN	go	BP	GO:0071394	cellular response to testosterone stimulus
NP16	0	4478	MSN	go	BP	GO:0071803	positive regulation of podosome assembly
NP16	0	4478	MSN	go	BP	GO:1902115	regulation of organelle assembly
NP16	0	4478	MSN	go	BP	GO:1902966	positive regulation of protein localization to early endosome
NP16	0	4478	MSN	go	BP	GO:1903364	positive regulation of cellular protein catabolic process
NP16	0	4478	MSN	go	BP	GO:2000401	regulation of lymphocyte migration
NP16	0	4478	MSN	go	BP	GO:2000643	positive regulation of early endosome to late endosome transport
NP12	0	4583	MUC2	go	BP	GO:0016266	O-glycan processing
NP12	0	4583	MUC2	go	BP	GO:0030277	maintenance of gastrointestinal epithelium
NP01	0	4599	MX1	go	BP	GO:0006915	apoptotic process
NP01	0	4599	MX1	go	BP	GO:0006952	defense response
NP01	0	4599	MX1	go	BP	GO:0007165	signal transduction
NP01	0	4599	MX1	go	BP	GO:0009615	response to virus
NP01	0	4599	MX1	go	BP	GO:0034340	response to type I interferon
NP01	0	4599	MX1	go	BP	GO:0045071	negative regulation of viral genome replication
NP01	0	4599	MX1	go	BP	GO:0045087	innate immune response
NP01	0	4599	MX1	go	BP	GO:0048285	organelle fission
NP01	0	4599	MX1	go	BP	GO:0051607	defense response to virus
NP01	0	4599	MX1	go	BP	GO:0060337	type I interferon signaling pathway
NP17	0	4605	MYBL2	go	BP	GO:0006366	transcription from RNA polymerase II promoter
NP17	0	4605	MYBL2	go	BP	GO:0030154	cell differentiation
NP17	0	4605	MYBL2	go	BP	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
NP17	0	4605	MYBL2	go	BP	GO:0051726	regulation of cell cycle
NP17	0	4605	MYBL2	go	BP	GO:0090307	mitotic spindle assembly
NP17	0	4607	MYBPC3	go	BP	GO:0003007	heart morphogenesis
NP17	0	4607	MYBPC3	go	BP	GO:0006942	regulation of striated muscle contraction
NP17	0	4607	MYBPC3	go	BP	GO:0007155	cell adhesion
NP17	0	4607	MYBPC3	go	BP	GO:0030049	muscle filament sliding
NP17	0	4607	MYBPC3	go	BP	GO:0032781	positive regulation of ATPase activity
NP17	0	4607	MYBPC3	go	BP	GO:0032971	regulation of muscle filament sliding
NP17	0	4607	MYBPC3	go	BP	GO:0055010	ventricular cardiac muscle tissue morphogenesis
NP17	0	4607	MYBPC3	go	BP	GO:0060048	cardiac muscle contraction
NP11	0	4622	MYH4	go	BP	GO:0006936	muscle contraction
NP11	0	4622	MYH4	go	BP	GO:0014823	response to activity
NP11	0	4622	MYH4	go	BP	GO:0030048	actin filament-based movement
NP11	0	4622	MYH4	go	BP	GO:0030049	muscle filament sliding
NP11	0	4622	MYH4	go	BP	GO:0046034	ATP metabolic process
NP11	0	4624	MYH6	go	BP	GO:0001701	in utero embryonic development
NP19	0	4624	MYH6	go	BP	GO:0001701	in utero embryonic development
NP11	0	4624	MYH6	go	BP	GO:0002026	regulation of the force of heart contraction
NP19	0	4624	MYH6	go	BP	GO:0002026	regulation of the force of heart contraction
NP11	0	4624	MYH6	go	BP	GO:0002027	regulation of heart rate
NP19	0	4624	MYH6	go	BP	GO:0002027	regulation of heart rate
NP11	0	4624	MYH6	go	BP	GO:0006470	protein dephosphorylation
NP19	0	4624	MYH6	go	BP	GO:0006470	protein dephosphorylation
NP11	0	4624	MYH6	go	BP	GO:0006936	muscle contraction
NP19	0	4624	MYH6	go	BP	GO:0006936	muscle contraction
NP11	0	4624	MYH6	go	BP	GO:0006941	striated muscle contraction
NP19	0	4624	MYH6	go	BP	GO:0006941	striated muscle contraction
NP11	0	4624	MYH6	go	BP	GO:0007512	adult heart development
NP19	0	4624	MYH6	go	BP	GO:0007512	adult heart development
NP11	0	4624	MYH6	go	BP	GO:0007522	visceral muscle development
NP19	0	4624	MYH6	go	BP	GO:0007522	visceral muscle development
NP11	0	4624	MYH6	go	BP	GO:0008016	regulation of heart contraction
NP19	0	4624	MYH6	go	BP	GO:0008016	regulation of heart contraction
NP11	0	4624	MYH6	go	BP	GO:0008217	regulation of blood pressure
NP19	0	4624	MYH6	go	BP	GO:0008217	regulation of blood pressure
NP11	0	4624	MYH6	go	BP	GO:0014898	cardiac muscle hypertrophy in response to stress
NP19	0	4624	MYH6	go	BP	GO:0014898	cardiac muscle hypertrophy in response to stress
NP11	0	4624	MYH6	go	BP	GO:0030049	muscle filament sliding
NP19	0	4624	MYH6	go	BP	GO:0030049	muscle filament sliding
NP11	0	4624	MYH6	go	BP	GO:0030239	myofibril assembly
NP19	0	4624	MYH6	go	BP	GO:0030239	myofibril assembly
NP11	0	4624	MYH6	go	BP	GO:0030509	BMP signaling pathway
NP19	0	4624	MYH6	go	BP	GO:0030509	BMP signaling pathway
NP11	0	4624	MYH6	go	BP	GO:0043462	regulation of ATPase activity
NP19	0	4624	MYH6	go	BP	GO:0043462	regulation of ATPase activity
NP11	0	4624	MYH6	go	BP	GO:0045214	sarcomere organization
NP19	0	4624	MYH6	go	BP	GO:0045214	sarcomere organization
NP11	0	4624	MYH6	go	BP	GO:0046034	ATP metabolic process
NP19	0	4624	MYH6	go	BP	GO:0046034	ATP metabolic process
NP11	0	4624	MYH6	go	BP	GO:0048739	cardiac muscle fiber development
NP19	0	4624	MYH6	go	BP	GO:0048739	cardiac muscle fiber development
NP11	0	4624	MYH6	go	BP	GO:0055009	atrial cardiac muscle tissue morphogenesis
NP19	0	4624	MYH6	go	BP	GO:0055009	atrial cardiac muscle tissue morphogenesis
NP11	0	4624	MYH6	go	BP	GO:0055010	ventricular cardiac muscle tissue morphogenesis
NP19	0	4624	MYH6	go	BP	GO:0055010	ventricular cardiac muscle tissue morphogenesis
NP11	0	4624	MYH6	go	BP	GO:0060048	cardiac muscle contraction
NP19	0	4624	MYH6	go	BP	GO:0060048	cardiac muscle contraction
NP11	0	4624	MYH6	go	BP	GO:0060070	canonical Wnt signaling pathway
NP19	0	4624	MYH6	go	BP	GO:0060070	canonical Wnt signaling pathway
NP11	0	4624	MYH6	go	BP	GO:0060420	regulation of heart growth
NP19	0	4624	MYH6	go	BP	GO:0060420	regulation of heart growth
NP10	1	4683	NBN	go	BP	GO:0000077	DNA damage checkpoint
NP10	1	4683	NBN	go	BP	GO:0000723	telomere maintenance
NP10	1	4683	NBN	go	BP	GO:0000724	double-strand break repair via homologous recombination
NP10	1	4683	NBN	go	BP	GO:0000729	DNA double-strand break processing
NP10	1	4683	NBN	go	BP	GO:0000731	DNA synthesis involved in DNA repair
NP10	1	4683	NBN	go	BP	GO:0000732	strand displacement
NP10	1	4683	NBN	go	BP	GO:0001832	blastocyst growth
NP10	1	4683	NBN	go	BP	GO:0006260	DNA replication
NP10	1	4683	NBN	go	BP	GO:0006302	double-strand break repair
NP10	1	4683	NBN	go	BP	GO:0006303	double-strand break repair via nonhomologous end joining
NP10	1	4683	NBN	go	BP	GO:0007050	cell cycle arrest
NP10	1	4683	NBN	go	BP	GO:0007093	mitotic cell cycle checkpoint
NP10	1	4683	NBN	go	BP	GO:0007095	mitotic G2 DNA damage checkpoint
NP10	1	4683	NBN	go	BP	GO:0008283	cell proliferation
NP10	1	4683	NBN	go	BP	GO:0030174	regulation of DNA-dependent DNA replication initiation
NP10	1	4683	NBN	go	BP	GO:0030330	DNA damage response, signal transduction by p53 class mediator
NP10	1	4683	NBN	go	BP	GO:0031860	telomeric 3' overhang formation
NP10	1	4683	NBN	go	BP	GO:0031954	positive regulation of protein autophosphorylation
NP10	1	4683	NBN	go	BP	GO:0032206	positive regulation of telomere maintenance
NP10	1	4683	NBN	go	BP	GO:0032508	DNA duplex unwinding
NP10	1	4683	NBN	go	BP	GO:0033674	positive regulation of kinase activity
NP10	1	4683	NBN	go	BP	GO:0045190	isotype switching
NP10	1	4683	NBN	go	BP	GO:0050885	neuromuscular process controlling balance
NP10	1	4683	NBN	go	BP	GO:0051321	meiotic cell cycle
NP10	1	4683	NBN	go	BP	GO:0097193	intrinsic apoptotic signaling pathway
NP10	1	4683	NBN	go	BP	GO:1901796	regulation of signal transduction by p53 class mediator
NP10	1	4683	NBN	go	BP	GO:1904354	negative regulation of telomere capping
NP01	0	4703	NEB	go	BP	GO:0007517	muscle organ development
NP01	0	4703	NEB	go	BP	GO:0007525	somatic muscle development
NP01	0	4703	NEB	go	BP	GO:0030049	muscle filament sliding
NP01	0	4703	NEB	go	BP	GO:0030832	regulation of actin filament length
NP16	0	4825	NKX6-1	go	BP	GO:0000122	negative regulation of transcription from RNA polymerase II promoter
NP16	0	4825	NKX6-1	go	BP	GO:0001764	neuron migration
NP16	0	4825	NKX6-1	go	BP	GO:0006366	transcription from RNA polymerase II promoter
NP16	0	4825	NKX6-1	go	BP	GO:0007224	smoothened signaling pathway
NP16	0	4825	NKX6-1	go	BP	GO:0009887	animal organ morphogenesis
NP16	0	4825	NKX6-1	go	BP	GO:0021912	regulation of transcription from RNA polymerase II promoter involved in spinal cord motor neuron fate specification
NP16	0	4825	NKX6-1	go	BP	GO:0021913	regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification
NP16	0	4825	NKX6-1	go	BP	GO:0030516	regulation of axon extension
NP16	0	4825	NKX6-1	go	BP	GO:0031016	pancreas development
NP16	0	4825	NKX6-1	go	BP	GO:0032024	positive regulation of insulin secretion
NP16	0	4825	NKX6-1	go	BP	GO:0035094	response to nicotine
NP16	0	4825	NKX6-1	go	BP	GO:0042493	response to drug
NP16	0	4825	NKX6-1	go	BP	GO:0044342	type B pancreatic cell proliferation
NP16	0	4825	NKX6-1	go	BP	GO:0045666	positive regulation of neuron differentiation
NP16	0	4825	NKX6-1	go	BP	GO:0045686	negative regulation of glial cell differentiation
NP16	0	4825	NKX6-1	go	BP	GO:0045687	positive regulation of glial cell differentiation
NP16	0	4825	NKX6-1	go	BP	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
NP16	0	4825	NKX6-1	go	BP	GO:0048709	oligodendrocyte differentiation
NP16	0	4825	NKX6-1	go	BP	GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity
NP16	0	4825	NKX6-1	go	BP	GO:0051594	detection of glucose
NP16	0	4825	NKX6-1	go	BP	GO:0071345	cellular response to cytokine stimulus
NP16	0	4825	NKX6-1	go	BP	GO:0071375	cellular response to peptide hormone stimulus
NP16	0	4825	NKX6-1	go	BP	GO:0072560	type B pancreatic cell maturation
NP16	0	4825	NKX6-1	go	BP	GO:2000078	positive regulation of type B pancreatic cell development
NP16	0	4825	NKX6-1	go	BP	GO:2001222	regulation of neuron migration
NP11	0	4863	NPAT	go	BP	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle
NP11	0	4863	NPAT	go	BP	GO:0006351	transcription, DNA-templated
NP11	0	4863	NPAT	go	BP	GO:0010468	regulation of gene expression
NP11	0	4863	NPAT	go	BP	GO:0045893	positive regulation of transcription, DNA-templated
NP11	0	4863	NPAT	go	BP	GO:1903507	negative regulation of nucleic acid-templated transcription
NP16	0	4882	NPR2	go	BP	GO:0001503	ossification
NP16	0	4882	NPR2	go	BP	GO:0006182	cGMP biosynthetic process
NP16	0	4882	NPR2	go	BP	GO:0006468	protein phosphorylation
NP16	0	4882	NPR2	go	BP	GO:0007168	receptor guanylyl cyclase signaling pathway
NP16	0	4882	NPR2	go	BP	GO:0008217	regulation of blood pressure
NP16	0	4882	NPR2	go	BP	GO:0035556	intracellular signal transduction
NP16	0	4882	NPR2	go	BP	GO:0044702	single organism reproductive process
NP16	0	4882	NPR2	go	BP	GO:0051447	negative regulation of meiotic cell cycle
NP16	0	4882	NPR2	go	BP	GO:0060348	bone development
NP16	0	4882	NPR2	go	BP	GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus
NP16	0	4882	NPR2	go	BP	GO:1900194	negative regulation of oocyte maturation
NP16	0	4882	NPR2	go	BP	GO:1903779	regulation of cardiac conduction
NP16	0	4893	NRAS	go	BP	GO:0000165	MAPK cascade
NP16	0	4893	NRAS	go	BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway
NP16	0	4893	NRAS	go	BP	GO:0007173	epidermal growth factor receptor signaling pathway
NP16	0	4893	NRAS	go	BP	GO:0007265	Ras protein signal transduction
NP16	0	4893	NRAS	go	BP	GO:0007411	axon guidance
NP16	0	4893	NRAS	go	BP	GO:0038095	Fc-epsilon receptor signaling pathway
NP16	0	4893	NRAS	go	BP	GO:0038128	ERBB2 signaling pathway
NP16	0	4893	NRAS	go	BP	GO:0050900	leukocyte migration
NP16	0	4893	NRAS	go	BP	GO:0072600	establishment of protein localization to Golgi
NP11	0	4927	NUP88	go	BP	GO:0000055	ribosomal large subunit export from nucleus
NP11	0	4927	NUP88	go	BP	GO:0000056	ribosomal small subunit export from nucleus
NP11	0	4927	NUP88	go	BP	GO:0006406	mRNA export from nucleus
NP11	0	4927	NUP88	go	BP	GO:0006409	tRNA export from nucleus
NP11	0	4927	NUP88	go	BP	GO:0006606	protein import into nucleus
NP11	0	4927	NUP88	go	BP	GO:0006611	protein export from nucleus
NP11	0	4927	NUP88	go	BP	GO:0007067	mitotic nuclear division
NP11	0	4927	NUP88	go	BP	GO:0007077	mitotic nuclear envelope disassembly
NP11	0	4927	NUP88	go	BP	GO:0010827	regulation of glucose transport
NP11	0	4927	NUP88	go	BP	GO:0016032	viral process
NP11	0	4927	NUP88	go	BP	GO:0016925	protein sumoylation
NP11	0	4927	NUP88	go	BP	GO:0019083	viral transcription
NP11	0	4927	NUP88	go	BP	GO:0031047	gene silencing by RNA
NP11	0	4927	NUP88	go	BP	GO:0075733	intracellular transport of virus
NP11	0	4927	NUP88	go	BP	GO:1900034	regulation of cellular response to heat
NP11	0	4976	OPA1	go	BP	GO:0000002	mitochondrial genome maintenance
NP11	0	4976	OPA1	go	BP	GO:0000266	mitochondrial fission
NP11	0	4976	OPA1	go	BP	GO:0003374	dynamin family protein polymerization involved in mitochondrial fission
NP11	0	4976	OPA1	go	BP	GO:0006915	apoptotic process
NP11	0	4976	OPA1	go	BP	GO:0007005	mitochondrion organization
NP11	0	4976	OPA1	go	BP	GO:0007007	inner mitochondrial membrane organization
NP11	0	4976	OPA1	go	BP	GO:0007601	visual perception
NP11	0	4976	OPA1	go	BP	GO:0008053	mitochondrial fusion
NP11	0	4976	OPA1	go	BP	GO:0010636	positive regulation of mitochondrial fusion
NP11	0	4976	OPA1	go	BP	GO:0014042	positive regulation of neuron maturation
NP11	0	4976	OPA1	go	BP	GO:0019896	axonal transport of mitochondrion
NP11	0	4976	OPA1	go	BP	GO:0090201	negative regulation of release of cytochrome c from mitochondria
NP11	0	4976	OPA1	go	BP	GO:0090398	cellular senescence
NP11	0	4976	OPA1	go	BP	GO:1900006	positive regulation of dendrite development
NP11	0	4976	OPA1	go	BP	GO:1902236	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
NP19	0	4982	TNFRSF11B	go	BP	GO:0001501	skeletal system development
NP19	0	4982	TNFRSF11B	go	BP	GO:0006954	inflammatory response
NP19	0	4982	TNFRSF11B	go	BP	GO:0006955	immune response
NP19	0	4982	TNFRSF11B	go	BP	GO:0007165	signal transduction
NP19	0	4982	TNFRSF11B	go	BP	GO:0007584	response to nutrient
NP19	0	4982	TNFRSF11B	go	BP	GO:0030198	extracellular matrix organization
NP19	0	4982	TNFRSF11B	go	BP	GO:0032026	response to magnesium ion
NP19	0	4982	TNFRSF11B	go	BP	GO:0032496	response to lipopolysaccharide
NP19	0	4982	TNFRSF11B	go	BP	GO:0033209	tumor necrosis factor-mediated signaling pathway
NP19	0	4982	TNFRSF11B	go	BP	GO:0042127	regulation of cell proliferation
NP19	0	4982	TNFRSF11B	go	BP	GO:0042489	negative regulation of odontogenesis of dentin-containing tooth
NP19	0	4982	TNFRSF11B	go	BP	GO:0042493	response to drug
NP19	0	4982	TNFRSF11B	go	BP	GO:0042981	regulation of apoptotic process
NP19	0	4982	TNFRSF11B	go	BP	GO:0043410	positive regulation of MAPK cascade
NP19	0	4982	TNFRSF11B	go	BP	GO:0043627	response to estrogen
NP19	0	4982	TNFRSF11B	go	BP	GO:0045779	negative regulation of bone resorption
NP19	0	4982	TNFRSF11B	go	BP	GO:0046685	response to arsenic-containing substance
NP19	0	4982	TNFRSF11B	go	BP	GO:0097190	apoptotic signaling pathway
NP19	0	4998	ORC1	go	BP	GO:0000082	G1/S transition of mitotic cell cycle
NP19	0	4998	ORC1	go	BP	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle
NP19	0	4998	ORC1	go	BP	GO:0006260	DNA replication
NP19	0	4998	ORC1	go	BP	GO:0006270	DNA replication initiation
NP17	0	5069	PAPPA	go	BP	GO:0006508	proteolysis
NP17	0	5069	PAPPA	go	BP	GO:0007565	female pregnancy
NP17	0	5069	PAPPA	go	BP	GO:0032354	response to follicle-stimulating hormone
NP17	0	5069	PAPPA	go	BP	GO:0044267	cellular protein metabolic process
NP17	0	5069	PAPPA	go	BP	GO:0051384	response to glucocorticoid
NP11	0	5071	PRKN	go	BP	GO:0000122	negative regulation of transcription from RNA polymerase II promoter
NP11	0	5071	PRKN	go	BP	GO:0000209	protein polyubiquitination
NP11	0	5071	PRKN	go	BP	GO:0000266	mitochondrial fission
NP11	0	5071	PRKN	go	BP	GO:0000422	mitophagy
NP11	0	5071	PRKN	go	BP	GO:0001933	negative regulation of protein phosphorylation
NP11	0	5071	PRKN	go	BP	GO:0001964	startle response
NP11	0	5071	PRKN	go	BP	GO:0006351	transcription, DNA-templated
NP11	0	5071	PRKN	go	BP	GO:0006513	protein monoubiquitination
NP11	0	5071	PRKN	go	BP	GO:0006979	response to oxidative stress
NP11	0	5071	PRKN	go	BP	GO:0007005	mitochondrion organization
NP11	0	5071	PRKN	go	BP	GO:0007417	central nervous system development
NP11	0	5071	PRKN	go	BP	GO:0007612	learning
NP11	0	5071	PRKN	go	BP	GO:0008344	adult locomotory behavior
NP11	0	5071	PRKN	go	BP	GO:0010498	proteasomal protein catabolic process
NP11	0	5071	PRKN	go	BP	GO:0010506	regulation of autophagy
NP11	0	5071	PRKN	go	BP	GO:0010628	positive regulation of gene expression
NP11	0	5071	PRKN	go	BP	GO:0010629	negative regulation of gene expression
NP11	0	5071	PRKN	go	BP	GO:0010636	positive regulation of mitochondrial fusion
NP11	0	5071	PRKN	go	BP	GO:0010637	negative regulation of mitochondrial fusion
NP11	0	5071	PRKN	go	BP	GO:0010821	regulation of mitochondrion organization
NP11	0	5071	PRKN	go	BP	GO:0010906	regulation of glucose metabolic process
NP11	0	5071	PRKN	go	BP	GO:0010994	free ubiquitin chain polymerization
NP11	0	5071	PRKN	go	BP	GO:0014059	regulation of dopamine secretion
NP11	0	5071	PRKN	go	BP	GO:0016236	macroautophagy
NP11	0	5071	PRKN	go	BP	GO:0016567	protein ubiquitination
NP11	0	5071	PRKN	go	BP	GO:0031396	regulation of protein ubiquitination
NP11	0	5071	PRKN	go	BP	GO:0031648	protein destabilization
NP11	0	5071	PRKN	go	BP	GO:0032232	negative regulation of actin filament bundle assembly
NP11	0	5071	PRKN	go	BP	GO:0032368	regulation of lipid transport
NP11	0	5071	PRKN	go	BP	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
NP11	0	5071	PRKN	go	BP	GO:0033132	negative regulation of glucokinase activity
NP11	0	5071	PRKN	go	BP	GO:0034620	cellular response to unfolded protein
NP11	0	5071	PRKN	go	BP	GO:0034976	response to endoplasmic reticulum stress
NP11	0	5071	PRKN	go	BP	GO:0035249	synaptic transmission, glutamatergic
NP11	0	5071	PRKN	go	BP	GO:0035519	protein K29-linked ubiquitination
NP11	0	5071	PRKN	go	BP	GO:0036503	ERAD pathway
NP11	0	5071	PRKN	go	BP	GO:0042053	regulation of dopamine metabolic process
NP11	0	5071	PRKN	go	BP	GO:0042415	norepinephrine metabolic process
NP11	0	5071	PRKN	go	BP	GO:0042417	dopamine metabolic process
NP11	0	5071	PRKN	go	BP	GO:0042787	protein ubiquitination involved in ubiquitin-dependent protein catabolic process
NP11	0	5071	PRKN	go	BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
NP11	0	5071	PRKN	go	BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
NP11	0	5071	PRKN	go	BP	GO:0043388	positive regulation of DNA binding
NP11	0	5071	PRKN	go	BP	GO:0043524	negative regulation of neuron apoptotic process
NP11	0	5071	PRKN	go	BP	GO:0044257	cellular protein catabolic process
NP11	0	5071	PRKN	go	BP	GO:0044267	cellular protein metabolic process
NP11	0	5071	PRKN	go	BP	GO:0044314	protein K27-linked ubiquitination
NP11	0	5071	PRKN	go	BP	GO:0044828	negative regulation by host of viral genome replication
NP11	0	5071	PRKN	go	BP	GO:0045732	positive regulation of protein catabolic process
NP11	0	5071	PRKN	go	BP	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
NP11	0	5071	PRKN	go	BP	GO:0046329	negative regulation of JNK cascade
NP11	0	5071	PRKN	go	BP	GO:0046676	negative regulation of insulin secretion
NP11	0	5071	PRKN	go	BP	GO:0050821	protein stabilization
NP11	0	5071	PRKN	go	BP	GO:0051582	positive regulation of neurotransmitter uptake
NP11	0	5071	PRKN	go	BP	GO:0051583	dopamine uptake involved in synaptic transmission
NP11	0	5071	PRKN	go	BP	GO:0051865	protein autoubiquitination
NP11	0	5071	PRKN	go	BP	GO:0051881	regulation of mitochondrial membrane potential
NP11	0	5071	PRKN	go	BP	GO:0055069	zinc ion homeostasis
NP11	0	5071	PRKN	go	BP	GO:0060548	negative regulation of cell death
NP11	0	5071	PRKN	go	BP	GO:0060828	regulation of canonical Wnt signaling pathway
